"","id","group","allele_count","anc_prop"
"433","GKS-Z","non-transloc",24916,0.24916
"434","GL-Z","non-transloc",100000,1
"435","GL-ZP","non-transloc",100000,1
"436","GLB-Z","ANF",74900,0.749
"437","GLB-Z","non-transloc",25100,0.251
"438","GLC-Z","ANF",50000,0.5
"439","GLC-Z","non-transloc",50000,0.5
"440","GLO-Z","ANF",24923,0.24923
"441","GLO-Z","non-transloc",75077,0.75077
"442","GLY-Z","ANF",37296,0.37296
"443","GLY-Z","non-transloc",62704,0.62704
"444","GO-ZB","non-transloc",100000,1
"445","GO-ZO","non-transloc",100000,1
"446","GO-ZP","non-transloc",100000,1
"447","GOC-Z","ANF",49895,0.49895
"448","GOC-Z","non-transloc",50105,0.50105
"449","GOG-Z","ANF",75041,0.75041
"450","GOG-Z","non-transloc",24959,0.24959
"451","GOK-Z","ANF",37502,0.37502
"452","GOK-Z","non-transloc",62498,0.62498
"453","GOS-Z","ANF",37477,0.37477
"454","GOS-Z","FTB",24699,0.24699
"455","GOS-Z","non-transloc",37824,0.37824
"456","GOY-Z","CBJTC",50000,0.5
"457","GOY-Z","non-transloc",50000,0.5
"458","GOZ-","non-transloc",100000,1
"459","GP-ZP","non-transloc",100000,1
"460","GPG-Z","non-transloc",100000,1
"461","GPH-Z","non-transloc",100000,1
"462","GPS-Z","non-transloc",100000,1
"463","GPW-Z","ANF",12729,0.12729
"464","GPW-Z","non-transloc",87271,0.87271
"465","GS-Z","non-transloc",100000,1
"466","GS-ZH","non-transloc",100000,1
"467","GS-ZO","non-transloc",100000,1
"468","GS-ZY","non-transloc",100000,1
"469","GS=Z","non-transloc",100000,1
"470","GSH-Z","ANF",25011,0.25011
"471","GSH-Z","non-transloc",74989,0.74989
"472","GSW-Z","FTS",50000,0.5
"473","GSW-Z","non-transloc",50000,0.5
"474","GSY-Z","non-transloc",100000,1
"475","GW-ZW","non-transloc",100000,1
"476","GWC-Z","ANF",75007,0.75007
"477","GWC-Z","non-transloc",24993,0.24993
"478","GWH-YZ","non-transloc",100000,1
"479","GWK-Z","ANF",24999,0.24999
"480","GWK-Z","non-transloc",75001,0.75001
"481","GWZ-","non-transloc",100000,1
"482","GY-ZY","non-transloc",100000,1
"483","GYB-Z","FTS",50000,0.5
"484","GYB-Z","non-transloc",50000,0.5
"485","GYG-YZ","non-transloc",100000,1
"486","GYG-Z","ANF",56632,0.56632
"487","GYG-Z","FTB",12431,0.12431
"488","GYG-Z","non-transloc",30937,0.30937
"489","GYH-Z","ANF",12656,0.12656
"490","GYH-Z","non-transloc",87344,0.87344
"491","GYK-Z","FTS",50000,0.5
"492","GYK-Z","non-transloc",50000,0.5
"493","GYL-Z","ANF",50000,0.5
"494","GYL-Z","non-transloc",50000,0.5
"495","GYP-Z","FTS",50000,0.5
"496","GYP-Z","non-transloc",50000,0.5
"497","GZ-A","non-transloc",100000,1
"498","GZ-B","non-transloc",100000,1
"499","GZ-C","non-transloc",100000,1
"500","GZ-G","non-transloc",100000,1
"501","GZ-HBP","ONF",100000,1
"502","GZ-OOK","WSF-CITRUS",100000,1
"503","GZ-WWL","FTS",100000,1
"504","HAA-Z","non-transloc",100000,1
"505","HAB-HZ","ONF",100000,1
"506","HAG-Z","ANF",50000,0.5
"507","HAG-Z","CBJTC",24999,0.24999
"508","HAG-Z","non-transloc",25001,0.25001
"509","HAH-Z","ANF",28206,0.28206
"510","HAH-Z","CBJTC",12389,0.12389
"511","HAH-Z","FTS",25036,0.25036
"512","HAH-Z","non-transloc",34369,0.34369
"513","HAK-Z","ANF",12556,0.12556
"514","HAK-Z","FTS",24924,0.24924
"515","HAK-Z","non-transloc",62520,0.6252
"516","HAS-Z","ANF",24865,0.24865
"517","HAS-Z","FTS",24642,0.24642
"518","HAS-Z","non-transloc",50493,0.50493
"519","HAY-Z","ANF",12510,0.1251
"520","HAY-Z","non-transloc",87490,0.8749
"521","HAZ-","non-transloc",100000,1
"522","HBB-Z","ANF",24966,0.24966
"523","HBB-Z","FTS",24770,0.2477
"524","HBB-Z","non-transloc",50264,0.50264
"525","HBH-Z","non-transloc",100000,1
"526","HBO-Z","non-transloc",100000,1
"527","HBP-Z","ANF",37487,0.37487
"528","HBP-Z","non-transloc",62513,0.62513
"529","HBW-Z","ANF",28004,0.28004
"530","HBW-Z","CBJTC",12571,0.12571
"531","HBW-Z","FTS",25067,0.25067
"532","HBW-Z","non-transloc",34358,0.34358
"533","HC-Z","non-transloc",100000,1
"534","HGA-Z","ANF",25015,0.25015
"535","HGA-Z","FTS",24950,0.2495
"536","HGA-Z","non-transloc",50035,0.50035
"537","HGG-Z","ANF",25207,0.25207
"538","HGG-Z","FTS",12349,0.12349
"539","HGG-Z","non-transloc",62444,0.62444
"540","HGH-Z","ANF",37543,0.37543
"541","HGH-Z","ONF",50000,0.5
"542","HGH-Z","non-transloc",12457,0.12457
"543","HGH-ZB","ONF",100000,1
"544","HGO-Z","ONF",100000,1
"545","HGS-Z","ANF",50000,0.5
"546","HGS-Z","non-transloc",50000,0.5
"547","HGW-Z","ANF",27896,0.27896
"548","HGW-Z","FTS",6290,0.0629
"549","HGW-Z","non-transloc",65814,0.65814
"550","HGY-Z","ANF",24939,0.24939
"551","HGY-Z","FTS",25030,0.2503
"552","HGY-Z","non-transloc",50031,0.50031
"553","HGZ-","non-transloc",100000,1
"554","HHA-Z","ANF",37268,0.37268
"555","HHA-Z","FTS",12626,0.12626
"556","HHA-Z","non-transloc",50106,0.50106
"557","HHG-Z","ANF",87518,0.87518
"558","HHG-Z","non-transloc",12482,0.12482
"559","HHH-Z","ANF",50000,0.5
"560","HHH-Z","CBJTC",24850,0.2485
"561","HHH-Z","non-transloc",25150,0.2515
"562","HHO-Z","ANF",75105,0.75105
"563","HHO-Z","non-transloc",24895,0.24895
"564","HHW-Z","ANF",31187,0.31187
"565","HHW-Z","FTS",25019,0.25019
"566","HHW-Z","non-transloc",43794,0.43794
"567","HHZ-","non-transloc",100000,1
"568","HKA-ZK","ONF",100000,1
"569","HKH-Z","ANF",56312,0.56312
"570","HKH-Z","FTB",12592,0.12592
"571","HKH-Z","non-transloc",31096,0.31096
"572","HKO-Z","ANF",6291,0.06291
"573","HKO-Z","FTS",25038,0.25038
"574","HKO-Z","non-transloc",68671,0.68671
"575","HKP-Z","ANF",87444,0.87444
"576","HKP-Z","non-transloc",12556,0.12556
"577","HKW-Z","ANF",21858,0.21858
"578","HKW-Z","FTS",24988,0.24988
"579","HKW-Z","non-transloc",53154,0.53154
"580","HKY-Z","ANF",74900,0.749
"581","HKY-Z","non-transloc",25100,0.251
"582","HLZ-","non-transloc",100000,1
"583","HO-LZ","ANF",50000,0.5
"584","HO-LZ","non-transloc",50000,0.5
"585","HOA-Z","ANF",37451,0.37451
"586","HOA-Z","CBJTC",12556,0.12556
"587","HOA-Z","FTS",24756,0.24756
"588","HOA-Z","non-transloc",25237,0.25237
"589","HOG-Z","ANF",12657,0.12657
"590","HOG-Z","non-transloc",87343,0.87343
"591","HOO-GZ","FTS",100000,1
"592","HOO-Z","ANF",37308,0.37308
"593","HOO-Z","non-transloc",62692,0.62692
"594","HOP-Z","ANF",37390,0.3739
"595","HOP-Z","non-transloc",62610,0.6261
"596","HOW-Z","ANF",50000,0.5
"597","HOW-Z","CBJTC",24846,0.24846
"598","HOW-Z","non-transloc",25154,0.25154
"599","HOY-Z","ANF",18861,0.18861
"600","HOY-Z","FTS",37353,0.37353
"601","HOY-Z","non-transloc",43786,0.43786
"602","HPP-Z","ANF",24966,0.24966
"603","HPP-Z","FTS",12500,0.125
"604","HPP-Z","non-transloc",62534,0.62534
"605","HPW-Z","ANF",37380,0.3738
"606","HPW-Z","FTS",12473,0.12473
"607","HPW-Z","non-transloc",50147,0.50147
"608","HPY-Z","ANF",25035,0.25035
"609","HPY-Z","FTS",24931,0.24931
"610","HPY-Z","non-transloc",50034,0.50034
